iso_code,population
AFG,38928346
AGO,32866272
ALB,2877797
ARE,9890402
ARG,45195774
AUS,25499884
AUT,9006398
BEL,11589623
BGD,164689383
BGR,6948445
BHR,1701575
BIH,3280819
BLR,9449323
BRA,212559417
CAN,37742154
CHE,8654622
CHL,19116201
CHN,1439323776
COL,50882891
CRI,5094118
CUB,11326616
CZE,10708981
DEU,83783942
DNK,5792202
DOM,10847910
DZA,43851044
ECU,17643054
EGY,102334404
ESP,46754778
EST,1326535
ETH,114963588
FIN,5540720
FRA,65273511
GBR,67886011
GEO,3989167
GHA,31072940
GRC,10423054
GTM,17915568
HND,9904607
HRV,4105267
HUN,9660351
IDN,273523615
IND,1380004385
IRN,83992949
IRQ,40222493
IRL,4937786
ISR,8655535
ITA,60461826
JAM,2961167
JOR,10203134
JPN,126476461
KAZ,18776707
KEN,53771296
KOR,51269185
LBN,6825445
LKA,21413249
LTU,2722289
LVA,1886198
MAR,36910560
MDA,2657637
MEX,128932753
MKD,2083374
MMR,54409800
MNG,3278290
MNE,628066
NGA,206139589
NLD,17134872
NOR,5421241
NPL,29136808
PAK,220892340
PER,32971854
PHL,109581078
POL,37846611
PRT,10196709
ROU,19237691
RUS,145934462
SAU,34813871
SDN,43849260
SEN,16743927
SGP,5850342
SRB,6982084
SVK,5459642
SVN,2078938
SWE,10099265
THA,69799978
TUN,11818619
TUR,84339067
UKR,43733762
USA,331002651
UZB,33469203
VEN,28435940
VNM,97338579
ZAF,59308690
ZWE,14862924
